type,name,x,y,p,iconIdx,asset
node,Galatia,422.4137981627285,253.0555597941081,,0,
node,Efesus,312.9973525393863,212.22222646077475,,0,
node,Makedonia,129.9734798603412,158.0555597941081,,0,
node,Miletus,370.689660231694,77.77777353922527,,0,
node,Troas,575.5968220354075,404.44444020589196,,0,
node,Kaisarea,561.6710925924367,494.44444020589196,,0,
obj,Paulus,561.6710925924367,494.44444020589196,Kaisarea,0,
sim,commands,0,0,KFBhdWx1cyxHYWxhdGlhLCJLaXMuIDE4OjIzLCA1MyBNIikKKFBhdWx1cyxFZmVzdXMsIktpcy4gMTk6MS00MSwgNTMtNTYgTSIpCihQYXVsdXMsTWFrZWRvbmlhLCJLaXMuIDIwOjEtMywgNTcgTSIpCihQYXVsdXMsTWlsZXR1cywiS2lzLiAyMDo2LTM4LCA1MyBNIikKKFBhdWx1cyxUcm9hcywiS2lzLiAxODoyMywgNTggTSIpCihQYXVsdXMsS2Fpc2FyZWEsIktpcy4gMjE6OC0xNywgNTggTSIpCg==,0,
